1.1 Selected food consumption statistics by population groups;;;;;;;
;Number of sampled households;Number of represented households ('000s);Average household size;Average dietary energy consumption (kcal/capita/day);Average food consumption in monetary value (USD/capita/day);Average dietary energy unit value (USD/1000kcals);Average total consumption in monetary value (USD/capita/day)
Palau;932;6,9;2,6;2837;11,62;4,15;31,92
;;;;;;;
Quintiles of total consumption expenditures;;;;;;;
Lowest quintile;183;1,4;3,1;2097;6,29;3,01;15,40
2;172;1,4;2,7;2540;9,26;3,50;22,57
3;179;1,4;2,8;2908;11,04;3,80;28,84
4;185;1,4;2,3;3380;14,75;4,40;38,24
Highest quintile;213;1,4;2,1;3644;20,04;6,01;66,05
;;;;;;;
Area of residence;;;;;;;
Urban;640;5,5;2,5;2866;11,57;4,13;32,08
Rural;292;1,4;2,8;2735;11,79;4,22;31,36
;;;;;;;
Composition of the household;;;;;;;
No child;701;5,1;1,7;3189;13,07;4,14;36,75
1 child;123;0,9;4,1;2705;11,32;4,23;30,56
2 children;71;0,6;5,1;2354;10,01;4,31;30,11
3 children and more;37;0,3;7,3;2397;8,99;3,70;19,54
;;;;;;;
Gender of the head of the household;;;;;;;
Male;667;5,0;2,6;2818;11,49;4,10;31,78
Female;265;1,9;2,5;2889;11,96;4,27;32,28
;;;;;;;
Class of age for the household head;;;;;;;
Age 18 to 46;235;2,0;1,9;3080;12,01;3,82;31,89
Age 47 to 56;250;1,8;2,7;2943;12,75;4,24;33,44
Age 57 to 66;225;1,6;2,6;2824;11,69;4,33;32,47
Age 67 and above;222;1,6;3,3;2568;10,27;4,27;30,15
;;;;;;;
Education of the household head;;;;;;;
Primary school or less;84;0,6;2,4;2587;9,36;3,62;25,98
Secondary;532;3,9;2,6;2915;11,41;3,92;30,15
Post secondary;308;2,4;2,7;2765;12,37;4,62;35,74
;;;;;;;
Any household member involved in fishing activities;;;;;;;
No;749;5,7;2,3;2884;11,38;3,99;31,07
Yes;183;1,2;3,8;2704;12,31;4,86;34,32
;;;;;;;
Any household member invovled in livestock activities;;;;;;;
No;877;6,6;2,5;2830;11,59;4,15;31,28
Yes;55;0,3;3,5;2931;12,03;4,00;40,42
;;;;;;;
Any household member involved in agricultural activities;;;;;;;
No;610;4,8;2,2;2815;11,75;4,17;32,07
Yes;322;2,1;3,4;2869;11,43;4,09;31,69
;;;;;;;
Marital status of the head of the household;;;;;;;
Married;519;3,8;3,0;2728;11,31;4,10;30,85
Not married;413;3,1;2,0;3037;12,20;4,20;33,87
;;;;;;;
Type of dwelling;;;;;;;
Private dwelling;621;4,6;3,3;2755;11,70;4,50;33,06
Barrack;311;2,3;1,2;3303;11,16;3,44;25,47
;;;;;;;
Household receiving remittances;;;;;;;
No;823;6,1;2,5;2858;11,68;4,10;32,10
Yes;109;0,8;3,4;2725;11,32;4,53;30,92
;;;;;;;
Area of residence;;;;;;;
Urban;640;5,5;2,5;2866;11,57;4,13;32,08
Rural;292;1,4;2,8;2735;11,79;4,22;31,36
;;;;;;;
Back to the table of contents;;;;;;;
