2.2 Food consumption by food commodity group and area;;;;;;
;Average edible quantity (g/capita/day);Average food consumption in monetary value (USD/capita/day);Average dietary energy consumption (kcal/capita/day);Average protein consumption (g/capita/day);Average carbohydrates consumption (g/capita/day);Average fat consumption (g/capita/day)
Area of residence;;;;;;
;;;;;;
Urban;;;;;;
Cereals and their products;287,78;0,87;955;22,5;201,5;5,6
Roots, tubers, plantains and their products;58,94;0,30;85;0,8;19,5;0,2
Pulses, seeds and nuts and their products;16,89;0,11;46;1,4;1,4;3,7
Milk and milk products;64,75;0,27;62;4,2;5,1;2,7
Eggs and their products;26,32;0,22;34;3,3;0,1;2,2
Fish, shellfish and their products;112,80;1,20;147;22,8;0,5;6,0
Meat and meat products;192,04;1,59;385;37,0;0,3;26,2
Vegetables and their products;113,19;0,79;33;1,8;3,8;0,4
Fruits and their products;132,01;0,56;92;1,2;16,2;2,0
Fats and oils;21,89;0,15;187;0,0;0,0;20,8
Sweets and sugars;36,87;0,39;123;1,2;21,1;3,7
Spices and condiments;49,88;0,29;69;2,5;7,8;2,3
Beverages;459,67;1,08;76;1,7;9,9;0,9
Foods for particular nutritional uses;0,31;0,01;2;0,0;0,2;0,1
Food additives;2,30;0,03;5;0,3;0,5;0,2
Composite dishes;13,58;0,34;28;1,4;3,1;1,1
Savoury snacks;6,58;0,16;31;0,5;4,1;1,4
Miscellaneous - meals consumed away;475,94;3,21;505;18,8;71,2;16,1
;;;;;;
Rural;;;;;;
Cereals and their products;250,41;0,85;824;19,9;172,7;5,0
Roots, tubers, plantains and their products;86,21;0,39;119;1,0;27,4;0,3
Pulses, seeds and nuts and their products;25,15;0,15;66;1,9;1,6;5,6
Milk and milk products;56,83;0,23;55;3,4;5,1;2,3
Eggs and their products;20,16;0,17;26;2,5;0,1;1,7
Fish, shellfish and their products;134,25;1,53;161;26,0;0,6;6,0
Meat and meat products;161,28;1,29;320;30,8;0,2;21,8
Vegetables and their products;83,78;0,61;28;1,5;3,0;0,4
Fruits and their products;127,12;0,59;96;1,2;18,0;1,6
Fats and oils;26,73;0,17;234;0,0;0,0;26,0
Sweets and sugars;44,55;0,45;142;1,2;26,0;3,6
Spices and condiments;41,60;0,26;39;1,8;4,4;1,2
Beverages;414,32;1,04;70;1,5;9,9;0,7
Foods for particular nutritional uses;N/A;0,00;0;0,0;0,0;0,0
Food additives;3,23;0,07;7;0,4;0,7;0,3
Composite dishes;11,64;0,22;25;1,2;3,0;0,9
Savoury snacks;7,47;0,23;36;0,6;4,6;1,6
Miscellaneous - meals consumed away;467,07;3,52;489;18,2;69,0;15,5
;;;;;;
N/A: very low or no nutrient content or no consumption;;;;;;
"Edible quantities: food quantities adjusted by edible portions (e.g. eighty eight percent of an egg is edible). The edible quantities are not expressed in grams of primary commodities (e.g. the primary commodity of flour rice is grain rice); they correspond to the amount of edible quantity as consumed by households";;;;;;
Population intake goal of fruits and vegetables: at least 400 grams per person per day;;;;;;
;;;;;;
;;;;;;
Back to the table of contents;;;;;;
