2.5 Contribution of food groups to total nutrient consumption by area;;;;
;Share of total dietary energy consumption (%);Share of total protein consumption (%);Share of total carbohydrates consumption (%);Share of total fat consumption (%)
Area of residence;;;;
;;;;
Urban;;;;
Cereals and their products;33,5;19,3;54,5;6,7
Roots, tubers, plantains and their products;3,1;0,7;5,4;0,2
Pulses, seeds and nuts and their products;1,6;1,2;0,4;3,6
Milk and milk products;2,1;3,5;1,5;2,8
Eggs and their products;1,2;2,9;0,0;2,6
Fish, shellfish and their products;5,3;18,3;0,1;6,8
Meat and meat products;13,3;29,1;0,1;27,4
Vegetables and their products;1,2;1,6;1,1;0,4
Fruits and their products;3,3;1,0;4,6;2,0
Fats and oils;6,3;0,0;0,0;19,9
Sweets and sugars;4,2;1,0;5,6;4,0
Spices and condiments;2,1;1,8;2,1;2,0
Beverages;2,8;1,6;2,9;1,0
Foods for particular nutritional uses;0,1;0,0;0,1;0,1
Food additives;0,2;0,2;0,2;0,2
Composite dishes;0,9;1,1;0,8;1,1
Savoury snacks;1,2;0,5;1,3;1,7
Miscellaneous - meals consumed away;17,7;16,0;19,4;17,6
;;;;
Rural;;;;
Cereals and their products;31,4;19,1;51,4;6,0
Roots, tubers, plantains and their products;4,3;0,9;7,7;0,3
Pulses, seeds and nuts and their products;2,2;1,7;0,5;5,4
Milk and milk products;2,0;3,0;1,5;2,5
Eggs and their products;0,9;2,1;0,0;1,8
Fish, shellfish and their products;6,1;22,8;0,2;7,0
Meat and meat products;11,4;25,4;0,1;22,7
Vegetables and their products;0,9;1,2;0,8;0,4
Fruits and their products;3,3;1,1;5,1;1,5
Fats and oils;8,5;0,0;0,0;26,5
Sweets and sugars;4,8;1,0;7,0;3,5
Spices and condiments;1,2;1,4;1,1;1,0
Beverages;2,6;1,4;2,8;0,6
Foods for particular nutritional uses;0,0;0,0;0,0;0,0
Food additives;0,2;0,3;0,2;0,3
Composite dishes;0,8;0,9;0,8;0,8
Savoury snacks;1,3;0,6;1,3;1,7
Miscellaneous - meals consumed away;18,1;17,1;19,5;18,1
;;;;
;;;;
;;;;
Back to the table of contents;;;;
